"","year","cold_pool_index","se_cold_pool_index","persistence_index","se_persistence_index","extent_index","se_extent_index"
"1",1959,-1.06832809551384,0.0312255809391315,0.541897413978586,0.0221223250629089,83.328125,2.01134372648178
"2",1960,-1.13168280195838,0.0336049082780656,0.426627952900742,0.0216460323739519,80.328125,2.01134372648178
"3",1961,-1.03237587864526,0.0241403585114546,0.453574060685173,0.0219919581383635,85.328125,2.01134372648178
"4",1962,-0.31601771912706,0.0235509610276226,-0.044928933326803,0.026990659205792,66.328125,2.01134372648178
"5",1963,-0.36354308708533,0.0244565628815711,0.0733345397270892,0.02236600592914,77.328125,2.01134372648178
"6",1964,-0.817171552277342,0.031080025486709,0.266448312182179,0.0285448015659777,60.328125,2.01134372648178
"7",1965,-1.90753324247828,0.021227529904249,0.775430348110323,0.0135729700891085,91.328125,2.01134372648178
"8",1966,-1.41413896475649,0.0333436218626296,0.629020657367785,0.019296701031841,69.328125,2.01134372648178
"9",1967,-1.00497875021599,0.0240024424789425,0.613753701403736,0.0154967332455767,86.328125,2.01134372648178
"10",1968,-1.45827370107331,0.0234382038775947,0.667645916972598,0.0158360961354614,91.328125,2.01134372648178
"11",1969,-0.862064402164399,0.0309115492307596,0.18710699481691,0.02271099870815,79.328125,2.01134372648178
"12",1970,-1.08999398968545,0.0338921377893099,0.578643599199072,0.0263646730613118,60.328125,2.01134372648178
"13",1971,-1.20252357947068,0.0273875232042785,0.516448312182179,0.0188788016560707,91.328125,2.01134372648178
"14",1972,-0.0937211382271528,0.0251950400757457,0.100742497590081,0.0257561426946788,26.328125,2.01134372648178
"15",1973,-0.0470478058673214,0.024693936244305,-0.0721343315901068,0.0264494945523725,42.328125,2.01134372648178
"16",1974,0.988677638499237,0.020876932040363,-0.664691771880418,0.0299430946266991,-67.671875,2.01134372648178
"17",1975,-0.0903766182462453,0.0452679809201339,-0.113791208775905,0.0297431401843994,23.328125,2.01134372648178
"18",1976,0.310672224964404,0.0258550634276449,-0.0785216142626666,0.0308082766662626,21.328125,2.01134372648178
"19",1977,-0.448530425019207,0.0415753382118698,0.0883045996073288,0.0247745244940807,66.328125,2.01134372648178
"20",1978,-0.632770841348031,0.0241098954801392,0.314352503798946,0.0239697898067575,77.328125,2.01134372648178
"21",1979,-1.46407864374338,0.0309920979754381,0.642196815176191,0.017527348144783,88.328125,2.01134372648178
"22",1980,-1.18715953552058,0.0412200919747817,0.50147825230194,0.0208710164870421,80.328125,2.01134372648178
"23",1981,-0.791234300448147,0.0386337027163348,0.297885437930682,0.0242268722950511,69.328125,2.01134372648178
"24",1982,-0.755489948907348,0.0401374873650299,0.220041126553437,0.024506764962065,65.328125,2.01134372648178
"25",1983,0.064643204527984,0.0264718565699114,-0.218093506090759,0.0287113859649146,29.328125,2.01134372648178
"26",1984,-1.33149401135588,0.0370777528809031,0.61525070739176,0.018695227001712,87.328125,2.01134372648178
"27",1985,0.434393473679445,0.0329453440378306,-0.107430011836399,0.018959829687662,33.328125,2.01134372648178
"28",1986,1.37527564168087,0.026743067853675,-0.56553049534152,0.0314241207290798,-102.671875,2.01134372648178
"29",1987,-0.659083547923968,0.0461064784238874,0.0838135816432569,0.0264871023105795,84.328125,2.01134372648178
"30",1988,-0.693871282422017,0.0274973293698248,0.263454300206131,0.0203579449069387,86.328125,2.01134372648178
"31",1989,-0.230402269341211,0.0314110841068313,0.191777653447261,0.018666151326157,73.328125,2.01134372648178
"32",1990,0.837888012821632,0.0349528166598104,-0.258286082816669,0.0253902218249118,6.328125,2.01134372648178
"33",1991,0.480219894270372,0.0351392510418687,-0.0759621369185913,0.0238651330093681,7.328125,2.01134372648178
"34",1992,0.0804420594235454,0.0224044960474358,-0.0107656881986069,0.0209143210192659,78.328125,2.01134372648178
"35",1993,-0.559770378474815,0.0230540472031118,0.381717773260023,0.0273264531248322,80.328125,2.01134372648178
"36",1994,-0.0917754159993631,0.038701318177086,-0.180612751138903,0.0300031435355301,19.328125,2.01134372648178
"37",1995,0.421017599418149,0.0274692563328989,-0.393379562059864,0.0275780505755428,44.328125,2.01134372648178
"38",1996,-1.22058576045948,0.029561044763997,0.694592024757029,0.0186714060426239,91.328125,2.01134372648178
"39",1997,0.0325465999115569,0.0269674400059829,0.161068846940985,0.0276203029716489,43.328125,2.01134372648178
"40",1998,-0.639334956372689,0.0395566341168973,0.574831545715113,0.028230610395027,75.328125,2.01134372648178
"41",1999,1.76992840045841,0.0423518747801776,-1.13029293246824,0.040269758869269,-226.671875,2.01134372648178
"42",2000,1.14155708973827,0.019129768876556,-0.36231373919537,0.0340919920544992,-63.671875,2.01134372648178
"43",2001,0.793043133946873,0.031413390639577,-0.69400419648114,0.0349258888321325,-42.671875,2.01134372648178
"44",2002,0.712762259890349,0.045941657031017,0.29531013720539,0.0317192116706932,-66.671875,2.01134372648178
"45",2003,-0.187529645966606,0.0227502209040487,-0.0409688949812601,0.0307915608168163,52.328125,2.01134372648178
"46",2004,-2.24435437839832,0.027013895840235,0.836807593619305,0.0143874271690949,91.328125,2.01134372648178
"47",2005,-0.192207651104757,0.0344999699578499,0.113753701403736,0.0371113053631099,65.328125,2.01134372648178
"48",2006,1.6551784279368,0.0323188861282914,-1.26392848944889,0.0421915348471249,-250.671875,2.01134372648178
"49",2007,-1.28638277632524,0.0266633995873408,0.787406396014514,0.0190868382981723,91.328125,2.01134372648178
"50",2008,0.216809547588743,0.0405080724077376,0.281756527408235,0.0315243861218619,16.328125,2.01134372648178
"51",2009,0.215909238418293,0.030823908569963,-0.240772732600156,0.0272318566920842,57.328125,2.01134372648178
"52",2010,-0.146284908318435,0.0344844507121085,0.314886583093038,0.0220652728220831,80.328125,2.01134372648178
"53",2011,0.229623911133307,0.0467745111072599,0.00630891745983051,0.0417981194353863,26.328125,2.01134372648178
"54",2012,2.01942832526983,0.0358732649258603,-0.978506290422492,0.0487362582303195,-287.671875,2.01134372648178
"55",2013,1.25135755902104,0.0334934081960447,-0.968416976101638,0.0381594305411708,-121.671875,2.01134372648178
"56",2014,2.24761228219811,0.055163107518869,-1.66920901314864,0.0353105806350901,-365.671875,2.01134372648178
"57",2015,2.27499427939026,0.0475888823429838,-1.5031061845934,0.040633308119626,-331.671875,2.01134372648178
"58",2016,1.81254570325604,0.0403214202044163,-0.991816597794784,0.0402469702497483,-237.671875,2.01134372648178
"59",2017,0.0766450826254437,0.0297733791605915,-0.0673840231471623,0.0297508671322941,53.328125,2.01134372648178
"60",2018,-0.0968134309868479,0.0250361575812375,0.227528890758526,0.0235731135664212,79.328125,2.01134372648178
"61",2019,0.937203573875564,0.047091364483149,-0.825557410321714,0.028491494686914,-2.671875,2.01134372648178
"62",2020,1.71928173802819,0.0504688640056851,-1.31383467844981,0.0396292783990112,-244.671875,2.01134372648178
"63",2021,2.09286614399718,0.0410697800013543,-0.774914400128003,0.029246189064815,-190.671875,2.01134372648178
"64",2022,2.56640238925895,0.0348055328010158,-1.36917947765573,0.0607104429148917,-432.671875,2.01134372648178
