"","source","year","BottomT.mean","BottomT.sd","BottomT.median","BottomT.min","BottomT.max","epu","season","BottomT.mean.ref","BottomT.mean.anomaly"
"1","GLORYS","1993",10.1199100146874,3.61128815264194,9.69399070739746,3.33637499809265,23.3145236968994,"GB","summer",10.5863019882423,-0.466391973554931
"2","GLORYS","1994",11.5558077404542,3.19645558724018,11.5653858184814,3.29242849349976,24.050630569458,"GB","summer",10.5863019882423,0.969505752211898
"3","GLORYS","1995",11.18720676444,3.45418753513023,10.9332866668701,3.12762832641602,23.5393848419189,"GB","summer",10.5863019882423,0.600904776197725
"4","GLORYS","1996",9.27454331296831,3.25226130793709,8.27085208892822,3.42353582382202,21.7368392944336,"GB","summer",10.5863019882423,-1.311758675274
"5","GLORYS","1997",11.0460270918028,3.19739827019328,11.0175180435181,3.19501328468323,22.4333934783936,"GB","summer",10.5863019882423,0.459725103560501
"6","GLORYS","1998",9.76060261536945,3.45568430616038,9.13953018188477,3.43818473815918,22.8069400787354,"GB","summer",10.5863019882423,-0.825699372872856
"7","GLORYS","1999",11.990204161348,3.31282138595719,12.1359596252441,3.2785120010376,23.5100860595703,"GB","summer",10.5863019882423,1.40390217310567
"8","GLORYS","2000",11.1342490877456,3.10024240463447,10.7589645385742,3.62715530395508,22.5666980743408,"GB","summer",10.5863019882423,0.547947099503336
"9","GLORYS","2001",10.8404532399891,3.40177426678081,10.4755086898804,3.44404435157776,23.1892757415771,"GB","summer",10.5863019882423,0.254151251746794
"10","GLORYS","2002",11.3239832667669,3.36878323531978,10.9918823242188,3.51435899734497,23.6214179992676,"GB","summer",10.5863019882423,0.737681278524613
"11","GLORYS","2003",10.2281771585711,3.20097103515933,9.89175128936768,3.41254925727844,23.1607112884521,"GB","summer",10.5863019882423,-0.358124829671231
"12","GLORYS","2004",9.21972393989563,3.42194244419197,8.57188606262207,3.05804634094238,22.4143505096436,"GB","summer",10.5863019882423,-1.36657804834667
"13","GLORYS","2005",9.8001382973603,3.46776124084395,9.1992244720459,3.10712003707886,23.5415821075439,"GB","summer",10.5863019882423,-0.786163690882004
"14","GLORYS","2006",10.9222994413668,3.09351449123311,10.6564226150513,3.08001947402954,23.383373260498,"GB","summer",10.5863019882423,0.33599745312454
"15","GLORYS","2007",9.73210395715331,3.35287602027715,8.97106838226318,3.49531531333923,23.7027187347412,"GB","summer",10.5863019882423,-0.854198031088998
"16","GLORYS","2008",10.1916849396982,3.41194259844027,9.68153953552246,2.81707215309143,23.0156860351562,"GB","summer",10.5863019882423,-0.39461704854414
