"","source","year","BottomT.mean","BottomT.sd","BottomT.median","BottomT.min","BottomT.max","epu","season","BottomT.mean.ref","BottomT.mean.anomaly"
"1","GLORYS","1993",8.80710602012883,1.07068140849849,8.87585067749023,2.24137091636658,13.9070100784302,"SS","fall",8.41110659499246,0.395999425136369
"2","GLORYS","1994",8.92748645242183,1.1309881789683,9.03991794586182,3.37226486206055,14.6138191223145,"SS","fall",8.41110659499246,0.516379857429369
"3","GLORYS","1995",8.88007519627162,1.1236122883239,8.89123249053955,3.28656888008118,16.3995170593262,"SS","fall",8.41110659499246,0.468968601279158
"4","GLORYS","1996",7.57418786727423,1.18739829387326,7.85921812057495,2.56584358215332,15.4905548095703,"SS","fall",8.41110659499246,-0.836918727718235
"5","GLORYS","1997",8.18104907691239,1.18018191404006,8.26059722900391,3.27045512199402,14.7559127807617,"SS","fall",8.41110659499246,-0.230057518080077
"6","GLORYS","1998",7.09226660874147,0.963474236968253,7.05572700500488,2.65593433380127,14.1706895828247,"SS","fall",8.41110659499246,-1.31883998625099
"7","GLORYS","1999",9.45129125923827,1.19647012181231,9.3848991394043,3.71138644218445,17.5084381103516,"SS","fall",8.41110659499246,1.04018466424581
"8","GLORYS","2000",8.76232259789087,0.993102343358805,8.68834495544434,3.12396621704102,16.064790725708,"SS","fall",8.41110659499246,0.351216002898404
"9","GLORYS","2001",8.32720121205113,0.903367070119074,8.21958065032959,3.7655873298645,16.2881870269775,"SS","fall",8.41110659499246,-0.083905382941337
"10","GLORYS","2002",9.13720074624467,1.19936214348226,9.0084228515625,3.69307541847229,16.9071025848389,"SS","fall",8.41110659499246,0.726094151252209
"11","GLORYS","2003",8.60856419949427,1.19185591159419,8.70958614349365,3.87398910522461,16.4324779510498,"SS","fall",8.41110659499246,0.197457604501801
"12","GLORYS","2004",7.22902302828911,1.12375625969375,7.10480070114136,2.88299202919006,14.2182989120483,"SS","fall",8.41110659499246,-1.18208356670336
"13","GLORYS","2005",8.31866396623247,1.04066061755084,8.20712947845459,3.19428086280823,14.9016695022583,"SS","fall",8.41110659499246,-0.0924426287599971
"14","GLORYS","2006",8.66693222693706,1.17175473014575,8.6356086730957,3.68648338317871,15.3557844161987,"SS","fall",8.41110659499246,0.2558256319446
"15","GLORYS","2007",7.62090356667196,1.30138235938619,7.5772271156311,3.01995921134949,13.7502670288086,"SS","fall",8.41110659499246,-0.790203028320501
