"","source","year","BottomT.mean","BottomT.sd","BottomT.median","BottomT.min","BottomT.max","epu","season","BottomT.mean.ref","BottomT.mean.anomaly"
"1","GLORYS","1993",11.0462003189645,2.59118325207849,11.5126495361328,2.48527479171753,17.4315319061279,"GB","fall",10.7500583558992,0.296141963065327
"2","GLORYS","1994",11.1421033493712,2.40262509243118,11.5346231460571,2.92840361595154,17.7157192230225,"GB","fall",10.7500583558992,0.392044993471998
"3","GLORYS","1995",11.1720190677239,3.05952433021677,11.5214395523071,3.10638761520386,18.3404941558838,"GB","fall",10.7500583558992,0.421960711824736
"4","GLORYS","1996",9.32380035826095,2.10512375049455,8.96374416351318,3.16718029975891,17.4359264373779,"GB","fall",10.7500583558992,-1.42625799763826
"5","GLORYS","1997",10.3385682457754,2.69670653451286,10.3026523590088,3.37519454956055,17.5743579864502,"GB","fall",10.7500583558992,-0.411490110123797
"6","GLORYS","1998",9.71593972048554,2.35312217634115,9.98110866546631,3.39423823356628,18.5397205352783,"GB","fall",10.7500583558992,-1.03411863541367
"7","GLORYS","1999",12.1731087323437,2.81831774404012,12.6889553070068,3.30634474754333,19.108097076416,"GB","fall",10.7500583558992,1.42305037644453
"8","GLORYS","2000",10.4131584336731,2.54522514125273,10.6505632400513,2.51017785072327,17.1239051818848,"GB","fall",10.7500583558992,-0.336899922226081
"9","GLORYS","2001",11.4343811910017,2.69943898024571,11.7001552581787,3.45136880874634,18.1456642150879,"GB","fall",10.7500583558992,0.684322835102455
"10","GLORYS","2002",11.3016481787653,2.81273265927007,11.7686395645142,3.37739181518555,18.9638042449951,"GB","fall",10.7500583558992,0.551589822866084
"11","GLORYS","2003",10.5792062609892,2.64768487247712,11.0292367935181,3.49311804771423,19.9526042938232,"GB","fall",10.7500583558992,-0.170852094909975
"12","GLORYS","2004",9.65617533430141,2.55135638609303,9.64272022247314,3.40522480010986,18.2496719360352,"GB","fall",10.7500583558992,-1.0938830215978
"13","GLORYS","2005",10.5348399407921,2.68564457547854,10.8241519927979,2.30582594871521,19.3505363464355,"GB","fall",10.7500583558992,-0.215218415107135
"14","GLORYS","2006",11.0402821280347,2.37204906219369,11.3397932052612,3.47993421554565,18.4269237518311,"GB","fall",10.7500583558992,0.290223772135526
"15","GLORYS","2007",9.3839720983414,2.67514873603892,8.9857177734375,3.66158032417297,19.1703548431396,"GB","fall",10.7500583558992,-1.36608625755781
"16","GLORYS","2008",10.6919898001573,2.62983956466699,10.9149751663208,3.4711446762085,17.959623336792,"GB","fall",10.7500583558992,-0.0580685557418779
"17","GLORYS","2009",12.3624610810564,2.96237053657452,12.6537981033325,2.08096551895142,20.0500202178955,"GB","fall",10.7500583558992,1.61240272515717
"18","GLORYS","2010",11.1911961661478,2.83160925235324,11.6891689300537,2.44792008399963,19.2750930786133,"GB","fall",10.7500583558992,0.441137810248588
"19","GLORYS","2011",11.7499048535746,2.63246035421431,11.9850769042969,2.91009259223938,20.2734146118164,"GB","fall",10.7500583558992,0.999846497675351
"20","GLORYS","2012",12.7721527209986,2.77004263585409,12.9079561233521,3.60078740119934,19.2355422973633,"GB","fall",10.7500583558992,2.02209436509944
"21","GLORYS","2013",12.1118488060286,2.98671716413518,12.5600452423096,3.38325142860413,18.1412696838379,"GB","fall",10.7500583558992,1.36179045012941
