"year","cold_pool_index","se_cold_pool_index","persistence_index","se_persistence_index","extent_index","se_extent_index"
1993,-0.292159207081282,0.0140364158441139,0.217231015398318,0.0102709504966355,67.3,3.0927693451375
1994,-0.382718561840195,0.015143178157267,0.100923323090626,0.00800003472662227,67.3,3.0927693451375
1995,0.0397469485716092,0.00744303288959911,0.0098464000137025,0.00704540615591283,65.3,3.0927693451375
1996,-0.393399092391885,0.0205904180068066,0.206154092321395,0.0100748696434841,67.3,3.0927693451375
1997,-0.1498082509281,0.00994999899789135,0.183384861552164,0.00951804459378471,67.3,3.0927693451375
1998,-0.292762048785604,0.0149243603373326,0.209846400013702,0.0105584039470467,67.3,3.0927693451375
1999,0.320856638512099,0.0141088334840468,-0.204388824001775,0.0144574411493271,-74.7,3.0927693451375
2000,0.0981699005567172,0.00897029759502298,0.0132892490302272,0.0101794237081297,36.3,3.0927693451375
2001,0.0413038660674203,0.0109178548437369,-0.0898459076786052,0.0117318713309092,7.29999999999995,3.0927693451375
2002,0.123949554864773,0.00984096103278523,0.111538642968294,0.0113440538371755,-0.700000000000045,3.0927693451375
2003,-0.151908287995153,0.0102958175062145,0.0516925538598563,0.00980883430987166,59.3,3.0927693451375
2004,-0.642812261328091,0.0300482910116324,0.225846400013703,0.0106605355857393,67.3,3.0927693451375
2005,-0.110268305181852,0.0087269698545302,0.0818464000137025,0.0112982891259397,64.3,3.0927693451375
2006,0.168808816891493,0.0120726788342181,-0.228380289123816,0.0155261801749646,-68.7,3.0927693451375
2007,-0.487820043601481,0.0211372472362811,0.232615630782933,0.0108057980310293,67.3,3.0927693451375
2008,-0.0924522406942803,0.00495741568821382,0.142154092321395,0.0104550608302218,65.3,3.0927693451375
2009,-0.164522774097521,0.00708212572342997,0.023384861552164,0.00785427014030495,65.3,3.0927693451375
2010,-0.197780449021097,0.0118003347347999,0.172923323090626,0.00889323868249535,67.3,3.0927693451375
2011,-0.110839767376118,0.00824524562637131,0.0627694769367794,0.00996715712893796,63.3,3.0927693451375
2012,0.392654478022529,0.014884872793593,-0.142100858763972,0.0129632245156983,-129.7,3.0927693451375
2013,0.171248074748741,0.0102581927663537,-0.190768984601682,0.0133206340800869,2.29999999999995,3.0927693451375
2014,0.414872312276637,0.021954645375198,-0.363084119394676,0.0185036804427907,-205.7,3.0927693451375
2015,0.347209544868204,0.0219842730422424,-0.293156631116657,0.0163420493020475,-159.7,3.0927693451375
2016,0.238183392606349,0.0107971535370802,-0.118578827513176,0.0110682618072142,-26.7,3.0927693451375
2017,-0.189993107818312,0.00976502789524069,0.128615630782933,0.00863349579839432,65.3,3.0927693451375
2018,-0.133734110139452,0.0092136055711391,0.112434108752992,0.00747650521476044,65.3,3.0927693451375
2019,0.120695660664343,0.0114513308398169,-0.156315728346599,0.00932054362844772,41.3,3.0927693451375
2020,0.296507072166447,0.0186759113891105,-0.307708263770474,0.0163496769457877,-114.7,3.0927693451375
2021,0.451039543139716,0.0208786722772917,-0.0518951861722713,0.00623350826584643,-132.7,3.0927693451375
2022,0.567732704323347,0.0220259722004701,-0.212650213909202,0.0159696844489625,-225.7,3.0927693451375
